city,real_farmer_count,real_prod_area_ha,natural_collect_area_ha,resting_terrain_ha,total_area_ha,prod_quant_tonnes,year,yield_tonnes_per_hectar,geo_group
ORDU,429,1688.3368000000014,300,0,1988.3368000000014,4412.0364999998,2014,2.219,karadeniz
OSMANIYE,1,0,100,0,100,10,2014,0.1,akdeniz
RIZE,1409,1282.0007,0,0,1282.0007,2618.68879,2014,2.043,karadeniz
SAKARYA,29,147.5873,0,0.05,147.63729999999998,537.3940000136998,2014,3.641,marmara
SAMSUN,622,2264.6379,0,21.221900000000005,2285.8598,5650.433167731499,2014,2.495,karadeniz
SINOP,1,0,1160,0,1160,405,2014,0.349,karadeniz
SIVAS,513,7833.7089999999835,0,783.8370000000006,8617.545999999984,27960.1989691,2014,3.569,ic_anadolu
SANLIURFA,231,10647.889400000002,0,13.6322,10661.521600000002,42649.925539,2014,4.005,guneydogu_anadolu
TEKIRDAG,4,80.46879999999999,0,4.9894,85.45819999999999,426.3160002,2014,5.298,marmara
TOKAT,153,362.6924,1200,1.5194999999999999,1564.2119,6074.695530571001,2014,3.887,karadeniz
TRABZON,257,361.70840000000004,0,0,361.70840000000004,706.4259840589999,2014,1.953,karadeniz
TUNCELI,88,477.39479999999986,0,107.54435000000001,584.9391499999999,1919.7710307599998,2014,4.021,dogu_anadolu
USAK,47,145.49880000000002,0,2.777,148.2758,202.85000109,2014,1.394,ege
VAN,6339,75677.10432,0,2528.7734000000005,78205.87772,195396.96667725997,2014,2.582,dogu_anadolu
YALOVA,4,13.0265,0,1.1638,14.1903,318.47399799899995,2014,24.448,marmara
YOZGAT,2,102.9104,0,0,102.9104,107.85800110000001,2014,1.048,ic_anadolu
ZONGULDAK,878,1779.2125,0,0,1779.2125,2758.007490207201,2014,1.55,karadeniz
ADANA,176,910.3195,0,3.1745,913.4939999999999,10727.372473512998,2015,11.784,akdeniz
ADIYAMAN,81,541.2223,0,0,541.2223,3370.0945033298995,2015,6.227,guneydogu_anadolu
AFYONKARAHISAR,170,985.042,0,33.1893,1018.2312999999999,8427.408879412793,2015,8.555,ege
AGRI,1713,36038.05790000001,0,124.53679999999997,36162.59470000001,93235.98420592,2015,2.587,dogu_anadolu
AMASYA,29,62.34430000000001,220.6,0.29009999999999997,283.2344,626.1166994962,2015,2.213,karadeniz
ANKARA,46,3988.2546000000007,0,366.7258,4354.9804,24251.0097617542,2015,6.081,ic_anadolu
ANTALYA,33,268.0059600000001,6415.78484,2.9574999999999996,6686.7483,3370.6174200819996,2015,0.504,akdeniz
ARDAHAN,891,4847.6365000000005,0,36.33,4883.9665,11461.366841670002,2015,2.364,dogu_anadolu
ARTVIN,567,979.0965,0,0,979.0965,1957.7028,2015,1.999,karadeniz
AYDIN,5035,26767.224600000005,1220,4.9918,27992.216400000005,119999.81415581162,2015,4.288,ege
BALIKESIR,57,603.6231,537.4147,0.0596,1141.0974,1120.9302035493004,2015,0.982,marmara
BARTIN,23,2.9443,0,0,2.9443,8.98639978,2015,3.052,karadeniz
BATMAN,13,641.418,0,10.8,652.2180000000001,1632.36252,2015,2.545,guneydogu_anadolu
BAYBURT,122,1215.434099999999,0,138.9325,1354.366599999999,4383.469670359999,2015,3.607,karadeniz
BILECIK,51,77.8913,0,0.8001,78.6914,1897.990000123,2015,24.367,marmara
BITLIS,415,6578.906000000003,333,649.647,7561.5530000000035,24789.942289,2015,3.587,dogu_anadolu
BOLU,10,32.4216,0,97.6,130.0216,208.71130899,2015,6.437,karadeniz
BURDUR,21,182.2081,0,0.7415,182.94959999999998,1328.4158026299997,2015,7.291,akdeniz
BURSA,84,336.83629999999994,0,17.8674,354.70369999999997,2860.7395754050353,2015,8.493,marmara
CANAKKALE,331,1689.5052999999998,0,19.325499999999998,1708.8308,12659.326094110851,2015,7.493,marmara
CANKIRI,1,4.4998,0,0,4.4998,0.22499,2015,0.05,ic_anadolu
CORUM,1,0,979.1,0,979.1,19,2015,0.019,karadeniz
DENIZLI,97,537.1876,0,0,537.1876,2785.9408152420006,2015,5.186,ege
DIYARBAKIR,299,1905.1869000000002,0,7,1912.1869000000002,13128.8646422,2015,6.891,guneydogu_anadolu
DUZCE,108,390.33759999999995,0,0,390.33759999999995,1148.4604984700002,2015,2.942,karadeniz
EDIRNE,1,30,0,0,30,3.5,2015,0.117,marmara
ELAZIG,18,175.2144,0,11.4028,186.6172,416.50310187250005,2015,2.377,dogu_anadolu
ERZINCAN,201,2621.8871,0,148.11429999999996,2770.0014,6442.868718619001,2015,2.457,dogu_anadolu
ERZURUM,2943,37720.96409,0,1777.6076600000001,39498.57175,131214.64598923788,2015,3.479,dogu_anadolu
ESKISEHIR,10,60.289899999999996,0,9.65,69.9399,454.5268501727999,2015,7.539,ic_anadolu
GAZIANTEP,67,2200.6245999999996,0,6.965199999999999,2207.5897999999997,4413.852678040001,2015,2.006,guneydogu_anadolu
GIRESUN,19,132.91,0,0,132.91,235.449992,2015,1.771,karadeniz
