city,real_farmer_count,real_prod_area_ha,natural_collect_area_ha,resting_terrain_ha,total_area_ha,prod_quant_tonnes,year,yield_tonnes_per_hectar,geo_group
MALATYA,838,5401.664,0,194.2674,5595.9313999999995,47512.801037590005,2017,8.796,dogu_anadolu
MANISA,1488,9547.6498,0,26.8819,9574.5317,117812.657057429,2017,12.339,ege
MARDIN,88,1710.2181,0,0,1710.2181,12213.380080799998,2017,7.141,guneydogu_anadolu
MERSIN,278,1277.4747,0,11.4301,1288.9048,12097.85314409,2017,9.47,akdeniz
MUGLA,859,4431.3654,421.255,5.0364,4857.6568,15248.9686537216,2017,3.142,ege
MUS,1971,28165.4575,0,51.2228,28216.6803,58419.27907811001,2017,2.074,dogu_anadolu
NEVSEHIR,5,25.5766,0,0,25.5766,232.3362652119001,2017,9.084,ic_anadolu
NIGDE,324,1082.9722,3926,50.0434,5059.0156,136165.52174983002,2017,27.184,ic_anadolu
ORDU,563,1880.6513,0,0,1880.6513,2633.0947742110006,2017,1.4,karadeniz
RIZE,9573,4704.39,0,0,4704.39,19996.229523309998,2017,4.251,karadeniz
SAKARYA,34,140.078,0,0,140.078,469.4984837520001,2017,3.352,marmara
SAMSUN,923,3163.89,0,0,3163.89,11403.696126530001,2017,3.604,karadeniz
SINOP,1,0,2490.6582,0,2490.6582,10483.02490599996,2017,4.209,karadeniz
SIVAS,412,8015.4337,0,750.7735,8766.207199999999,12314.056619998966,2017,1.536,ic_anadolu
SANLIURFA,229,8604.2961,0,40.8306,8645.126699999999,41451.12840989001,2017,4.817,guneydogu_anadolu
TEKIRDAG,5,105.5309,0,0,105.5309,364.749909,2017,3.456,marmara
TOKAT,286,668.4725,0,46.6966,715.1691,1703.145376774,2017,2.548,karadeniz
TRABZON,1018,881.6701,0,0.64,882.3101,1762.650048901,2017,1.999,karadeniz
TUNCELI,155,841.3525,0,113.5751,954.9276,3312.56487809,2017,3.937,dogu_anadolu
USAK,19,130.2644,0,1.11,131.3744,242.7680809991,2017,1.864,ege
VAN,4983,55555.4977,0,1094.8503,56650.348,201957.07476781,2017,3.635,dogu_anadolu
YALOVA,3,7.2562,0,0,7.2562,88.77650208999997,2017,12.235,marmara
YOZGAT,4,183.0145,0,0,183.0145,280.09100008800004,2017,1.53,ic_anadolu
ZONGULDAK,729,1311.4987,0,0,1311.4987,2802.007451939798,2017,2.136,karadeniz
ADANA,81,705.4714,7904.5601,3.2754,8613.3069,21407.33050369,2018,2.486,akdeniz
ADIYAMAN,535,3154.059,0,2.5298,3156.5888,16147.303010199998,2018,5.12,guneydogu_anadolu
AFYONKARAHISAR,563,2033.3785,0,231.0908,2264.4693,22788.411038886632,2018,11.207,ege
AGRI,1439,31914.724,0.4321,43.9952,31959.1513,90065.93388890002,2018,2.822,dogu_anadolu
AKSARAY,1,16.1749,0,0,16.1749,32.3498,2018,2,ic_anadolu
AMASYA,9,71.0469,6.6639,0,77.7108,408.85909960761,2018,5.261,karadeniz
ANKARA,71,3710.2854,0,196.1457,3906.4311,17132.31210423362,2018,4.618,ic_anadolu
ANTALYA,36,1216.566,424.6,3.1057,1644.2717,1363.2934166000002,2018,0.831,akdeniz
ARDAHAN,638,5933.4596,0,1.5688,5935.0284,17831.36428,2018,3.005,dogu_anadolu
ARTVIN,1233,1427.4323,0,0,1427.4323,3332.0590001,2018,2.334,karadeniz
AYDIN,11219,56174.3474,1146.1308,7.3375,57327.8157,297378.4444058787,2018,5.188,ege
BALIKESIR,120,1677.2152,0,0,1677.2152,2115.105,2018,1.261,marmara
BARTIN,84,60.6747,0,7.7525,68.4272,148.31880041,2018,2.444,karadeniz
BATMAN,9,300.9075,0,8.2457,309.1532,1126.2202900099899,2018,3.743,guneydogu_anadolu
BAYBURT,20,115.5905,0,0,115.5905,277.14130201,2018,2.398,karadeniz
BILECIK,64,68.5921,0,0,68.5921,898.8450098800001,2018,13.104,marmara
BITLIS,366,5960.2213,0,163.8435,6124.0648,18482.42337642,2018,3.101,dogu_anadolu
BOLU,8,206.6162,5001.956,0.516,5209.0882,6435.32539,2018,1.236,karadeniz
BURDUR,17,228.0416,0,1.258,229.2996,555.68559971,2018,2.437,akdeniz
BURSA,96,256.7513,0,4.9378,261.6891,1942.0632269225991,2018,7.564,marmara
CANAKKALE,489,3332.1463,0,23.063,3355.2093,10980.3835461995,2018,3.295,marmara
CANKIRI,1,4.4998,0,0,4.4998,4.4998002,2018,1,ic_anadolu
CORUM,23,79.6441,3582.3065,0,3661.9506,4453.06569898,2018,1.216,karadeniz
DENIZLI,246,1000.7859,0,57.085,1057.8709,10760.927677,2018,10.752,ege
DIYARBAKIR,763,1757.6513,0,64.8227,1822.474,5427.573487919999,2018,3.088,guneydogu_anadolu
DUZCE,115,417.5659,0,0,417.5659,1433.3836001230002,2018,3.433,karadeniz
EDIRNE,4,22.42,0,0,22.42,22,2018,0.981,marmara
ELAZIG,193,1886.6672,0,27.2646,1913.9318,8684.804950030002,2018,4.603,dogu_anadolu
ERZINCAN,215,2624.817,0,13.8455,2638.6625,7741.75258899,2018,2.949,dogu_anadolu
ERZURUM,2249,27763.4121,0.8553,768.095,28532.3624,109849.517901882,2018,3.957,dogu_anadolu
ESKISEHIR,13,78.3221,0,101.7236,180.0457,659.6018028519,2018,8.422,ic_anadolu
GAZIANTEP,122,1692.0608,0,1.9002,1693.961,6439.04149798,2018,3.805,guneydogu_anadolu
GIRESUN,15,85.0339,0,0,85.0339,105.24019581,2018,1.238,karadeniz
GUMUSHANE,1,0.5072,0,0,0.5072,10.5,2018,20.702,karadeniz
HATAY,84,817.27,0,13.081,830.351,4123.004791392999,2018,5.045,akdeniz
IGDIR,2,8.8358,0,0,8.8358,17.6715998,2018,2,dogu_anadolu
ISPARTA,69,154.8366,0,0.7178,155.5544,2537.2990977400004,2018,16.387,akdeniz
ISTANBUL,16,52.6199,0,23.9501,76.57,606.5402008568897,2018,11.527,marmara
IZMIR,2703,14448.4707,0,37.1773,14485.648,62569.364,2018,4.331,ege
KAHRAMANMARAS,42,625.3565,2053.1856,2.5,2681.0421,7449.116486000001,2018,2.781,akdeniz
KARAMAN,0,0,0,0,0,2090.507292113,2018,Inf,ic_anadolu
KARS,198,485.3976,0,0.8515,486.2491,106160.68211791001,2018,218.709,dogu_anadolu
KASTAMONU,3430,50459.2968,0,49.9128,50509.2096,64708.044976050995,2018,1.282,karadeniz
KAYSERI,8,1108.3128,52663.6016,0,53771.9144,452.00699950110015,2018,0.008,ic_anadolu
KIRIKKALE,31,152.7973,0,0,152.7973,78.12600065170001,2018,0.511,ic_anadolu
KIRKLARELI,3,6.9018,0,0.0317,6.9335,66.94989922,2018,9.7,marmara
KIRSEHIR,10,34.4821,0,4.3421,38.8242,114.021298743,2018,3.307,ic_anadolu
KILIS,2,56.061,0,0,56.061,59671.305900071,2018,1064.4,guneydogu_anadolu
KOCAELI,433,2962.7452,0,0,2962.7452,195.1647997541001,2018,0.066,marmara
KONYA,5,46.7643,0,0.942,47.7063,21341.8147966953,2018,456.37,ic_anadolu
KUTAHYA,594,1528.7421,0,36.8324,1565.5745,4265.68599081,2018,2.79,ege
MALATYA,121,460.8375,1781.863,2.4501,2245.1506,55817.10968989,2018,24.888,dogu_anadolu
MANISA,993,6336.9266,0,153.0708,6489.9974,147358.67263314401,2018,23.254,ege
MARDIN,2293,12831.4626,0,36.0949,12867.5575,12031.5910091,2018,0.938,guneydogu_anadolu
MERSIN,103,1776.6961,0,0,1776.6961,448,2018,0.252,akdeniz
MERSIN,260,1135.9273,0,4.4269,1140.3542,6965.742323600001,2018,6.132,akdeniz
MUGLA,870,4456.7624,8131.3018,2.9985,12591.0627,14923.09691777642,2018,1.185,ege
MUS,2038,28900.174,0.9199,63.7984,28964.8923,65873.29962589999,2018,2.279,dogu_anadolu
NEVSEHIR,7,32.9769,0,2.9069,35.8838,371.1966002709001,2018,11.256,ic_anadolu
NIGDE,328,1328.3185,0,90.9301,1419.2486,134750.753,2018,101.445,ic_anadolu
ORDU,606,2019.9152,0,0,2019.9152,4342.612999930001,2018,2.15,karadeniz
RIZE,10147,4603.4512,0.1544,0,4603.6056,24750.183689832007,2018,5.376,karadeniz
SAKARYA,44,183.0394,0,0,183.0394,535.9546011920002,2018,2.928,marmara
SAMSUN,1013,3343.646,0,0.23,3343.876,12538.096787250004,2018,3.75,karadeniz
SINOP,4,198.365,4181.4691,0,4379.8341,13799.276,2018,3.151,karadeniz
SIVAS,371,7470.2769,5.4771,487.9132,7963.6672,14283.916383231,2018,1.911,ic_anadolu
SANLIURFA,210,7812.577,0,51.2115,7863.7885,41977.6266591,2018,5.373,guneydogu_anadolu
TEKIRDAG,3,56.2082,0,0,56.2082,198.8699101,2018,3.538,marmara
TOKAT,241,684.7806,0,16.1037,700.8843,1881.2736525230002,2018,2.747,karadeniz
TRABZON,1116,952.9118,0,0,952.9118,2536.486689904,2018,2.662,karadeniz
TUNCELI,181,901.7595,0,133.2299,1034.9894,2596.21887415002,2018,2.879,dogu_anadolu
USAK,10,59.2157,0,3.5198,62.7355,125.2992042,2018,2.116,ege
VAN,4203,49766.0097,0,758.9176,50524.9273,130094.6139951,2018,2.614,dogu_anadolu
YALOVA,3,6.3055,0,0,6.3055,158.50400025979997,2018,25.137,marmara
YOZGAT,4,181.1033,0,0,181.1033,146.60570141,2018,0.81,ic_anadolu
ZONGULDAK,809,1463.9181,0,0,1463.9181,3375.8873997861897,2018,2.306,karadeniz
